original_package_relative_path,archive_path,archive_member,size_bytes,sha256,decode_status,decoded_relative_path,notes
model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,142500,932d658294cceeb939bf1c0b9f217988c05d3e61044b66fcaf740536b806a470,failed,,stage 1 unix_pack_static_huffman: failed: too many leaves in pack Huffman tree
code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,477017,8aba54d6303923aaa4c01903877a3e77e49fda89f70b74ef5b111f2e147651f4,partial,data/decoded_model_outputs/rf8904e/plt.vcr8904,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,273761,686d2da2f88b6877dc45c3d40d36699da06fa41837cde934a4bad746d14b3e45,partial,data/decoded_model_outputs/rf8904e/plt.wis.8904,stage 1 unix_compress_lzw: partial: compress invalid code 437 with table end 362
model_setup/bethesda_slate/rf8904e/rep.521dd.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.521dd.Z,8725,2a85d0977005fe76d282b869fb60919ba60a3e9446efc00847195012ca3a66e5,partial,data/decoded_model_outputs/rf8904e/rep.521dd,stage 1 unix_compress_lzw: partial: compress invalid code 1731 with table end 1105
model_setup/bethesda_slate/rf8904e/rep.611.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.611.Z,101073,630b6bc2dd50f14b566da278b02a0d38bf99bac8a3ecf479faa59031f67491ad,partial,data/decoded_model_outputs/rf8904e/rep.611,stage 1 unix_compress_lzw: partial: compress invalid code 845 with table end 688
model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,681,554152365f264803d43b159b612d9ab75e18349d6a50dacd6647ac8bc80c375e,partial,data/decoded_model_outputs/rf8904e/rep.PAzone,stage 1 unix_compress_lzw: partial: compress invalid code 882 with table end 696
model_setup/bethesda_slate/rf8904e/rep.critical.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.critical.Z,5511,25d9010137356c48aea97bb3fa465c9b3af6257988db984b739c98dfef7598ef,partial,data/decoded_model_outputs/rf8904e/rep.critical,stage 1 unix_compress_lzw: partial: compress invalid code 1449 with table end 1039
model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,68523,cb1e2cfd257bc84ff52f4b65e9418cb9118cdf64bbd80bd52ffd3baab2118813,partial,data/decoded_model_outputs/rf8904e/rep.sigstat,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,653,67c8737e5699b325cbbc653c035b7e53938462fe4ce4bcc751e220015f418734,complete,data/decoded_model_outputs/rf8904e/rep.sumtime1,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,275,424ef13a7674ed86e2b48d2752faaccd4ab3421ff971eaab4491dd949677ab13,complete,data/decoded_model_outputs/rf8904e/rep.turnpen,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
