source_path,source_root,source_relative_path,suffix_chain,detected_format,decode_layers,decoder_path,decoder_method,status,expected_length,actual_bytes,eof_verified,source_size_bytes,source_sha256,output_path,output_relative_path,output_sha256,notes
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,2,no,5086,2f16b88f068732f5d9a8afac4afd44decf3ea6b4bf98fedd4fc6acc44f4c8b0c,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.turnvols,data/decoded_model_outputs/rf8904e/rep.turnvols,61c05a0775d5dfcd77ea4a0601825b6ff10ebc5f16f805baca7f89b0eb3a18ca,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/turnvols.in.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/turnvols.in.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,235,no,22378,715095b3ecbce3ae18d80745741f036e9a91c8a8a751684c4eafcd42e32f6bd6,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/turnvols.in,data/decoded_model_outputs/rf8904e/turnvols.in,b65f21965bdad97ac839a475404de9f0409e37569a8b8967b290582848b38260,stage 1 unix_compress_lzw: partial: compress invalid code 441 with table end 362
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.in.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/d231.in.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,4423,no,48570,606aa67b6be7aa5b8a3fdac4255fbae7c869c4ee6681fd332949683ac18fdff7,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/d231.in,data/decoded_model_outputs/rf9612a/d231.in,26839864bdffd55341f9db71a6da4e3cdb123e7c22f5c36d44a3ccd3216cd754,stage 1 unix_compress_lzw: partial: compress invalid code 1743 with table end 1434
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.out.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/d231.out.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,1184,no,47085,a23c6e615bd7a7a2604e72fc1d99f3c8e4d4be8f0a62936e4d5c13597bfad02d,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/d231.out,data/decoded_model_outputs/rf9612a/d231.out,2bda6776c97d7fdc1e47c45f79139dd3e1d8bc3cb4483b970d0fb8e3c6b82ee5,stage 1 unix_compress_lzw: partial: compress invalid code 874 with table end 684
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,complete,,7059,yes,2191,b29c88f85b5daca43c107271aec10ead408e366ba252c5961ffdc73e4466151d,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/d231.turnpro,data/decoded_model_outputs/rf9612a/d231.turnpro,421538548b370085c588f306ddd0ca0b0686d7d5e8342dcef509b86864580b1e,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/externs1.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/externs1.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,complete,,994,yes,619,48a0ecb8afca9a00d80530ce07ac9130bef597cfec92c02459ae9c613496b49c,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/externs1,data/decoded_model_outputs/rf9612a/externs1,145dae629b3c95232e16e040f9797cdbcb3dfff80e31bf008dd3f0853b89dee7,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/externs2.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/externs2.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,complete,,903,yes,574,8fa578805937700bf358cf0921c2da2a0e7c9043521c4fe8f202f692d58909b5,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/externs2,data/decoded_model_outputs/rf9612a/externs2,3610db6e32778d2708fc9cd4287a60ee953ea875204af3bae21f8ef3774b8779,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,133,no,490117,bb3c4c063cd564f55696d20915046f04f83295d07f0dbb793cdd5f959e9dc258,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/plt.diff9689,data/decoded_model_outputs/rf9612a/plt.diff9689,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,133,no,519639,f7e226b46732c983cd0f31997a04600924c3b3c452f38b5fae3679198e8da705,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/plt.vcr9612,data/decoded_model_outputs/rf9612a/plt.vcr9612,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.521dd.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf9612a/rep.521dd.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,167,no,8790,f7ad919728f75251a4c758755d69e0cd52cb30a46a74cb5650244dd3ea7443dd,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf9612a/rep.521dd,data/decoded_model_outputs/rf9612a/rep.521dd,63a17bb8315f457f5155f86f99043bd92e86fb585e98414367fb064a72ec791b,stage 1 unix_compress_lzw: partial: compress invalid code 436 with table end 378
